order_id,country,city,category,subscription,promised_eta,actual_eta,traffic,weather,peak_hour,customer_rating,refund_given,compensation_given,eta_failure_risk,premium_dissatisfaction
NX0,Singapore,Singapore,Grocery,Free,39,42,Medium,Clear,Lunch,5,No,No,Low,Low
NX1,Australia,Sydney,Food,Premium,28,38,High,Storm,Breakfast,4,No,No,Low,Low
NX2,Singapore,Singapore,Grocery,Free,43,59,High,Rain,Late Night,4,No,Yes,High,Low
NX3,USA,Chicago,Pharmacy,Premium,26,36,Low,Rain,Dinner,4,No,No,Low,Low
NX4,Australia,Sydney,Food,Free,34,42,Low,Rain,Snack,5,No,No,Low,Low
NX5,Germany,Berlin,Pharmacy,Premium,25,30,Low,Storm,Breakfast,5,No,No,Low,Low
NX6,Australia,Sydney,Grocery,Free,15,29,Medium,Rain,Breakfast,4,No,Yes,High,Low
NX7,UAE,Dubai,Food,Premium,28,32,Low,Storm,Dinner,5,No,No,Low,Low
NX8,Australia,Sydney,Grocery,Free,47,61,Low,Rain,Breakfast,4,No,Yes,High,Low
NX9,UK,London,Food,Premium,22,30,Medium,Clear,Lunch,5,No,No,Low,Low
NX10,USA,Chicago,Food,Free,37,42,Low,Clear,Late Night,5,No,No,Low,Low
NX11,India,Bangalore,Grocery,Premium,20,35,High,Storm,Late Night,4,No,Yes,High,High
NX12,UAE,Dubai,Grocery,Premium,15,20,Medium,Rain,Late Night,5,No,No,Low,Low
NX13,Singapore,Singapore,Grocery,Premium,43,44,Low,Clear,Late Night,5,No,No,Low,Low
NX14,Australia,Sydney,Grocery,Free,34,31,Low,Clear,Dinner,5,No,No,Low,Low
NX15,India,Mumbai,Grocery,Free,39,43,Medium,Storm,Lunch,5,No,No,Low,Low
NX16,UAE,Dubai,Food,Premium,44,52,High,Clear,Lunch,5,No,No,Low,Low
NX17,India,Mumbai,Pharmacy,Premium,38,46,Medium,Clear,Lunch,5,No,No,Low,Low
NX18,UK,London,Pharmacy,Premium,17,38,High,Rain,Breakfast,3,Yes,Yes,High,High
NX19,USA,Chicago,Grocery,Free,36,39,Low,Clear,Snack,5,No,No,Low,Low
NX20,Germany,Munich,Food,Premium,17,17,Low,Storm,Breakfast,5,No,No,Low,Low
NX21,India,Delhi,Pharmacy,Free,32,37,Low,Rain,Dinner,5,No,No,Low,Low
NX22,Singapore,Singapore,Food,Premium,16,25,High,Storm,Late Night,5,No,No,Low,Low
NX23,Singapore,Singapore,Pharmacy,Free,39,55,High,Rain,Breakfast,4,No,Yes,High,Low
NX24,India,Bangalore,Food,Free,28,32,Medium,Clear,Snack,5,No,No,Low,Low
NX25,Australia,Sydney,Pharmacy,Premium,30,46,High,Clear,Lunch,4,No,Yes,High,High
